Question,Answer
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
What is the tuition fee for undergraduate programs?,"The tuition fee for undergraduate programs is $15,000 per year."
When is the admission deadline?,The admission deadline is April 30.
What courses are offered in Computer Science?,"Courses include AI, Data Science, and Web Development."
Can international students apply for financial aid?,"Yes, international students can apply for financial aid."
Is there on-campus housing available?,"Yes, on-campus housing is available for all students."
